 l_angstrom,N,lower,upper,g_l,g_u,rate,strength,log_gf
9212.577,  68,  3^1D,  9^1P, 5, 3, 1.733e4, 1.323e-4, -3.180
9212.854, 759,  3^3D,  9^1F, 2, 7, 1.098e5, 8.148e-4, -2.010
9212.863, 355,  3^3D,  9^3F, 5,21, 4.738e5, 8.439e-3, -0.898
9215.757,  69,  3^1D,  9^1F, 5, 7, 3.996e5, 7.121e-3, -1.448
9215.759, 575,  3^1D,  9^3F, 5, 7, 1.095e5, 1.952e-3, -2.011
9230.392, 354,  3^3D,  9^3P, 5, 9, 3.717e4, 2.848e-4, -2.369
9305.716,  54,  3^1P,  9^1D, 3, 5, 5.103e5, 1.104e-2, -1.480
9342.705,  53,  3^1P,  9^1S, 3, 1, 3.056e5, 1.333e-3, -2.398
9466.179, 323,  3^3S,  5^3P, 3, 9, 5.687e5, 2.291e-2, -1.163
9518.783, 751,  3^3P,  7^1D, 3, 5, 7.387e1, 1.672e-6, -5.300
9519.211, 337,  3^3P,  7^3D, 9,15, 1.244e6, 2.816e-2, -0.596
9527.045,  66,  3^1D,  8^1P, 5, 3, 2.536e4, 2.070e-4, -2.985
9528.769, 758,  3^3D,  8^1F, 2, 7, 1.701e5, 1.350e-3, -1.790
9528.780, 353,  3^3D,  8^3F, 5,21, 7.046e5, 1.342e-2, -0.696
9531.875,  67,  3^1D,  8^1F, 5, 7, 5.898e5, 1.124e-2, -1.250
9531.878, 574,  3^1D,  8^3F, 5, 7, 1.696e5, 3.235e-3, -1.791
9555.518, 352,  3^3D,  8^3P, 5, 9, 5.437e4, 4.464e-4, -2.174
9606.075,  38,  3^1S,  6^1P, 1, 3, 5.829e5, 2.418e-2, -1.616
9628.337,  52,  3^1P,  8^1D, 3, 5, 7.374e5, 1.708e-2, -1.290
9685.043,  51,  3^1P,  8^1S, 3, 1, 4.427e5, 2.075e-3, -2.206
9705.313, 336,  3^3P,  7^3S, 9, 3, 8.651e5, 4.071e-3, -1.436
